Evidence item,Value,Unit,Basis,Result
Exact orderable MPN,IAUTN15S6N025ATMA1,,Infineon automotive 150 V TOLL,PASS
Voltage rating,150,V,Datasheet minimum V(BR)DSS,PASS
RDS(on) max at 25 C,2.50,mOhm,10 V / 100 A datasheet maximum,INPUT
Hot multiplier,1.80,x,Conservative bound from datasheet typical RDS(on)-versus-Tj curve,INPUT
Hot review RDS(on),4.50,mOhm,25 C maximum times hot multiplier,PASS PRE-LAYOUT
Continuous input current,40,A,ADR-0008 board-current budget,INPUT
Q2 conduction loss at 25 C maximum,4.000,W,I^2 times 25 C maximum RDS(on),PASS
Q2 hot conduction loss,7.200,W,I^2 times hot review RDS(on),PASS PRE-LAYOUT
RthJC max,0.42,K/W,Datasheet maximum,INPUT
Ambient design point,125.0,degC,Worst-case enclosure ambient requirement,INPUT
Target junction ceiling,150.0,degC,Design target below 175 C device maximum,PASS PRE-LAYOUT
Maximum full thermal path,3.47,K/W,(Tj target - ambient) / Q2 hot conduction loss,POST-LAYOUT LIMIT
Hot steady initial junction,150.0,degC,Tambient + I^2 RDS(on)hot times target full thermal path,INPUT TO SOA
Maximum gate-drain charge,40,nC,Datasheet Qgd maximum; design-specified at 75 V / 123 A,CONDITIONAL INPUT
Maximum gate-source charge,52,nC,Complete datasheet Qgs maximum conservatively bounds the post-Miller current-fall charge; design-specified at 75 V / 123 A,CONDITIONAL INPUT
OV deglitch maximum,7.00,us,Q2 remains fully enhanced during the controller deglitch interval,SEPARATE FROM LINEAR MODE
Miller transition bound,0.31,us,Qgd maximum divided by minimum HGATE sink current,PROVISIONAL
Post-Miller current-fall bound,0.41,us,Complete Qgs maximum divided by minimum HGATE sink current,PROVISIONAL
Complete linear-transition bound,0.72,us,Miller VDS-rise plus post-Miller ID-fall charge envelope,PROVISIONAL
ISO load-dump rise-time range,5-10,ms,TI application brief Table 1,INPUT
Pre-layout commutation overshoot allowance,4.50,V,Reserved above OV threshold plus input rise; post-layout extraction must remain within this allocation,DESIGN LIMIT
Worst protected-node peak budget,59.52,V,Maximum OV threshold plus 101 V / 5 ms input rise during 7 us delay plus commutation allowance,PROVISIONAL PASS
Protected-node margin to 80 V Q1,20.48,V,Selected protected MOSFET rating minus worst protected-node peak budget,PROVISIONAL PASS
Hot-corner SOA current limit,83.33,A,Conservative 101 V / 1 us curve bound derated from 25 C to the 150 C initial junction,PROVISIONAL
Hot-corner SOA margin,2.08,x,Temperature-derated current limit divided by 40 A,PROVISIONAL PASS
Repeated-pulse condition,10 pulses / 60 s spacing,,Generated corners include 150 C initial junction after steady 40 A preload,CONDITIONAL PRE-LAYOUT
Pre-layout gate status,Conditional,,Qgd/Qgs are not guaranteed at the 101 V / 40 A corner and graph-derived SOA needs a qualified maximum-bound trajectory,BLOCKED
Physical verification boundary,Extracted copper thermal interface enclosure and common-source overshoot,,Post-layout evidence and PB-BENCH-004 must verify dynamic SOA and recovery,MANDATORY POST-LAYOUT
